time, Quad.IMU.AX
4.239875,0.795242
4.244875,-0.115687
4.249875,0.629463
4.254874,-0.643816
4.259874,-0.317324
4.264874,0.266781
4.269873,0.049860
4.274873,-0.016615
4.279872,0.153204
4.284872,-0.161125
4.289872,-0.201143
4.294871,0.387387
4.299871,-0.184521
4.304871,0.219836
4.309870,-0.925451
4.314870,-0.535989
4.319870,-0.845061
4.324869,0.287118
4.329869,0.325785
4.334868,-0.145174
4.339868,0.685328
4.344868,-0.446888
4.349867,-0.305722
4.354867,0.522755
4.359867,-0.067692
4.364866,0.042699
4.369866,-0.363266
4.374866,0.006649
4.379865,-0.059644
4.384865,0.126222
4.389864,-0.548367
4.394864,0.589318
4.399864,0.338693
4.404863,0.961206
4.409863,0.289702
4.414863,0.624753
4.419862,-0.307984
4.424862,-0.398299
4.429862,-0.008667
4.434861,-1.260172
4.439861,0.554973
4.444860,-0.169813
4.449860,0.549304
4.454860,-0.428493
4.459859,-0.241883
4.464859,0.678638
4.469859,0.038040
4.474858,-0.765732
4.479858,-0.600527
4.484858,-0.739772
4.489857,-0.367214
4.494857,-0.466463
4.499856,0.604464
4.504856,0.248857
4.509856,0.243583
4.514855,-0.428590
4.519855,-0.460224
4.524855,-0.043558
4.529854,-0.148443
4.534854,-0.457845
4.539854,-0.949901
4.544853,0.683432
4.549853,0.046516
4.554852,-0.451594
4.559852,-0.159182
4.564852,-0.051369
4.569851,0.141756
4.574851,-0.504858
4.579851,0.745150
4.584850,-0.373104
4.589850,-0.167775
4.594850,1.515913
4.599849,-0.631539
4.604849,-0.322144
4.609848,0.842696
4.614848,0.220149
4.619848,-0.413199
4.624847,-0.019204
4.629847,0.064859
4.634847,0.299725
4.639846,-0.085196
4.644846,0.355917
4.649846,-0.108615
4.654845,-0.770100
4.659845,0.152234
4.664845,-0.369980
4.669844,0.131552
4.674844,0.229633
4.679843,0.224766
4.684843,-0.337076
4.689843,1.268526
4.694842,-0.740873
4.699842,-0.694595
4.704842,-1.053206
4.709841,0.061479
4.714841,-0.816220
4.719841,0.618894
4.724840,-0.954355
4.729840,-0.716197
4.734839,0.172481
4.739839,0.331629
4.744839,-0.570049
4.749838,-0.286793
4.754838,0.345752
4.759838,0.113423
4.764837,-0.216091
4.769837,-0.033929
4.774837,0.025825
4.779836,-0.314239
4.784836,-1.351881
4.789835,-0.345090
4.794835,-0.035884
4.799835,0.469775
4.804834,0.270906
4.809834,-0.181048
4.814834,-0.239021
4.819833,0.230002
4.824833,0.844120
4.829833,-0.539890
4.834832,-0.636812
4.839832,0.154416
4.844831,0.304149
4.849831,0.275252
4.854831,-0.384251
4.859830,-0.423727
4.864830,0.165877
4.869830,-0.400628
4.874829,0.600292
4.879829,-0.440900
4.884829,0.534012
4.889828,0.072913
4.894828,0.605371
4.899827,-0.091221
4.904827,-0.019363
4.909827,0.027955
4.914826,1.077655
4.919826,-0.076995
4.924826,-0.093757
4.929825,-0.240868
4.934825,0.839409
4.939825,-0.840711
4.944824,-0.278960
4.949824,0.031364
4.954823,-0.346958
4.959823,0.640192
4.964823,0.366248
4.969822,0.450330
4.974822,0.164239
4.979822,-0.135102
4.984821,-0.888258
4.989821,0.197712
4.994821,-0.298825
4.999820,-0.342961
5.004820,0.172928
5.009820,-0.334828
5.014819,-0.479225
5.019819,0.350857
5.024818,-0.355129
5.029818,0.062223
5.034818,-0.373469
5.039817,0.813923
5.044817,0.444193
5.049817,0.755805
5.054816,0.143029
5.059816,0.001065
5.064816,0.459835
5.069815,-0.324298
5.074815,0.299882
5.079814,-0.276278
5.084814,0.306226
5.089814,-0.635116
5.094813,-0.169373
5.099813,0.113254
5.104813,-0.186620
5.109812,-0.185637
5.114812,-0.283485
5.119812,-0.139192
5.124811,0.338052
5.129811,0.172802
5.134810,0.520699
5.139810,-0.302103
5.144810,-0.595848
5.149809,0.161264
5.154809,-0.957284
5.159809,0.795956
5.164808,0.556649
5.169808,0.088112
5.174808,0.391624
5.179807,-0.784581
5.184807,-0.343160
5.189806,0.604124
5.194806,0.078975
5.199806,0.677757
5.204805,0.132738
5.209805,0.047222
5.214805,-1.389900
5.219804,0.521458
5.224804,-0.668230
5.229804,0.184966
5.234803,-0.438433
5.239803,0.680385
5.244802,-0.007258
5.249802,0.029958
5.254802,-0.320130
5.259801,0.078395
5.264801,0.187336
5.269801,-0.360488
5.274800,0.072788
5.279800,0.489024
5.284800,0.094712
5.289799,0.291633
5.294799,0.597442
5.299798,-0.131253
5.304798,-0.948431
5.309798,0.507134
5.314797,-0.020531
5.319797,-0.733759
5.324797,-0.195919
5.329796,0.253250
5.334796,0.386696
5.339796,-0.002343
5.344795,-0.399639
5.349795,0.316939
5.354795,-1.080426
5.359794,0.063646
5.364794,0.876299
5.369793,0.882104
5.374793,0.313046
5.379793,-0.197664
5.384792,0.689630
5.389792,0.742693
5.394792,-0.560869
5.399791,-0.068778
5.404791,0.042520
5.409791,0.379537
5.414790,0.352541
5.419790,0.743238
5.424789,-0.416033
5.429789,0.392152
5.434789,0.021357
5.439788,-0.429749
5.444788,-0.694949
5.449788,-0.022681
5.454787,0.460157
5.459787,-1.121962
5.464787,0.694532
5.469786,-0.178748
5.474786,0.001229
5.479785,-0.759611
5.484785,0.421512
5.489785,-0.172760
5.494784,0.578850
5.499784,-0.185059
5.504784,0.202645
5.509783,-0.015079
5.514783,0.493468
5.519783,-0.339804
5.524782,1.031145
5.529782,0.499394
5.534781,-0.353114
5.539781,0.107377
5.544781,-0.173624
5.549780,-1.375875
5.554780,0.141730
5.559780,-0.167362
5.564779,-0.041758
5.569779,-0.224393
5.574779,-0.303868
5.579778,-0.525599
5.584778,-0.504443
5.589777,-0.580614
5.594777,0.164791
5.599777,0.058785
5.604776,-0.043468
5.609776,-0.288229
5.614776,-0.026672
5.619775,-1.219953
5.624775,-0.064703
5.629775,-0.301610
5.634774,0.084575
5.639774,-0.043941
5.644773,0.058721
5.649773,-0.556832
5.654773,0.383746
5.659772,0.195946
5.664772,-0.136899
5.669772,-0.711667
5.674771,0.065726
5.679771,-0.145861
5.684771,1.174451
5.689770,-0.274493
5.694770,0.586248
5.699769,0.530839
5.704769,-0.402018
5.709769,-1.294961
5.714768,1.023375
5.719768,-0.603974
5.724768,0.690592
5.729767,-0.121729
5.734767,-0.045342
5.739767,0.354325
5.744766,-0.610000
5.749766,-0.384905
5.754766,-0.732767
5.759765,0.143421
5.764765,-0.581773
5.769764,-0.443271
5.774764,-0.091812
5.779764,0.352694
5.784763,1.174032
5.789763,-0.605024
5.794763,0.259337
5.799762,0.012626
5.804762,-0.067220
5.809762,0.328287
5.814761,0.339901
5.819761,-0.596658
5.824760,0.213555
5.829760,0.191782
5.834760,-0.352299
5.839759,0.029358
5.844759,0.331191
5.849759,0.582733
5.854758,0.723037
5.859758,-1.159422
5.864758,0.115935
5.869757,1.370935
5.874757,-0.416047
5.879756,-0.619304
5.884756,0.732105
5.889756,0.279008
5.894755,0.534020
5.899755,0.233572
5.904755,-0.536409
5.909754,0.065950
5.914754,-0.673251
5.919754,0.212808
5.924753,0.355311
5.929753,-0.029944
5.934752,0.311888
5.939752,-0.126960
5.944752,0.111827
5.949751,-0.346875
5.954751,0.232987
5.959751,-0.386507
5.964750,-0.106144
5.969750,-0.134934
5.974750,-0.377081
5.979749,-0.415215
5.984749,-0.054915
5.989748,-0.321406
5.994748,0.268128
5.999748,0.678460
6.004747,0.957702
6.009747,0.841461
6.014747,-1.073497
6.019746,-0.198709
6.024746,0.329569
6.029746,-0.733775
6.034745,-0.138425
6.039745,0.401970
6.044744,0.115063
6.049744,-0.041283
6.054744,-0.292033
6.059743,-0.665316
6.064743,-0.172524
6.069743,0.687481
6.074742,-1.008285
6.079742,-0.558349
6.084742,-1.118068
6.089741,0.451185
6.094741,-0.297822
6.099741,-0.457062
6.104740,-0.128150
6.109740,-0.325773
6.114739,0.621960
6.119739,0.741681
6.124739,-1.152237
6.129738,-0.570325
6.134738,0.644079
6.139738,-0.255345
6.144737,0.153113
6.149737,0.122187
6.154737,-1.232364
6.159736,-1.140961
6.164736,0.322751
6.169735,-0.542188
6.174735,-0.194519
6.179735,0.324977
6.184734,0.335992
6.189734,-1.817019
6.194734,0.128868
6.199733,0.052362
6.204733,0.296710
6.209733,0.236324
6.214732,-0.162391
6.219732,0.390813
6.224731,0.057660
6.229731,0.273324
6.234731,0.203058
6.239730,-0.269856
6.244730,0.797527
6.249730,0.325779
6.254729,0.833297
6.259729,0.164219
6.264729,-0.158843
6.269728,0.071169
6.274728,0.645571
6.279727,0.690537
6.284727,0.282398
6.289727,-0.168620
6.294726,0.392564
6.299726,-0.141680
6.304726,-0.078988
6.309725,-0.305085
6.314725,0.500136
6.319725,-0.474727
6.324724,0.765161
6.329724,-0.098043
6.334723,-0.667513
6.339723,0.270851
6.344723,-0.962673
6.349722,-0.017228
6.354722,-0.150963
6.359722,-0.778539
6.364721,-0.551482
6.369721,-0.237945
6.374721,0.040444
6.379720,-0.241692
6.384720,-0.870276
6.389719,1.017379
6.394719,-0.019563
6.399719,0.010382
6.404718,-0.379646
6.409718,0.013449
6.414718,0.273255
6.419717,-0.216138
6.424717,0.002581
6.429717,-0.037095
6.434716,-0.216585
6.439716,-0.110193
6.444715,0.091582
6.449715,-0.012854
6.454715,-0.630464
6.459714,-0.129103
6.464714,-0.535579
6.469714,-0.016315
6.474713,0.958319
6.479713,0.043097
6.484713,-0.176826
6.489712,0.550343
6.494712,-0.512669
6.499712,-0.177508
6.504711,0.262005
6.509711,0.073721
6.514710,0.231969
6.519710,-0.551827
6.524710,0.140975
6.529709,0.980826
6.534709,0.413381
6.539709,0.039426
6.544708,-0.214542
6.549708,0.190642
6.554708,0.483997
6.559707,-0.141466
6.564707,0.194560
6.569706,-0.495916
6.574706,0.480125
